1951,12
1952,12.4
1953,12.6
1954,13.2
1955,14.3
1956,14.6
1957,16.1
1958,18.2
1959,20.3
1960,21.4
1961,23.3
1962,24.8
1963,26.6
1964,27.8
1965,28.9
1966,30.3
1967,32.6
1968,34.7
1969,35.3
1970,35.6
1971,38.3
1972,40.1
1973,42.7
1974,45
1975,49.3
1976,53.6
1977,57.3
1978,60.6
1979,63.5
1980,67.6
1981,71.1
1982,73.8
1983,84.6
1984,84.5
1985,88.9
1986,95
1987,100
1988,106.2
1989,111.6
1990,113.3
1991,119.8
1992,127.7
1993,135.5
1994,142.2
1995,148.1
1996,159.5
1997,160.9
1998,170.3
1999,189.1
